datetime,move,name,delta,time_delta,final_osum
2021-08-13 17:11:41,stop_buy90,Ralph Lauren Corp Class A (RL),0.008071025020177562,21:21:33.119477,79
2021-08-13 17:11:41,stop_buy90,Morgan Stanley (MS),0.01206087872116402,21:21:33.135475,87
2021-08-13 17:11:41,stop_buy90,Jefferies Financial Group Inc (JEF),0.01479207368127271,21:21:33.147476,69
2021-08-13 17:11:41,stop_buy90,Loews Corp (L),0.00605736682700879,21:21:33.151477,85
2021-08-13 17:11:41,stop_buy90,Fortinet Inc (FTNT),-0.001080833224158208,21:21:33.067027,83
2021-08-13 17:11:41,stop_buy90,Westinghouse Air Brake Technologies Corp (WAB),0.009537701974865444,21:21:33.075457,77
2021-08-13 17:11:41,stop_buy90,Capri Holdings Ltd (CPRI),0.0058352784261419535,21:21:33.092451,78
2021-08-13 17:11:41,stop_buy90,Hanesbrands Inc (HBI),0.0,21:21:33.108452,89
2021-08-13 17:11:41,stop_buy90,Celanese Corporation (CE),0.003504457423916343,21:21:33.127456,83
2021-08-13 17:11:41,stop_buy90,DXC Technology Co (DXC),0.014705882352941162,19:00:19.527526,73
2021-08-13 17:11:41,stop_buy90,HP Inc (HPQ),0.032916392363396975,19:00:19.545521,10
2021-08-13 17:11:41,stop_buy90,Iron Mountain Incorporated (IRM),0.0017226528854435465,19:00:19.576627,85
2021-08-13 17:11:41,stop_buy90,Best Buy Co Inc (BBY),0.02446457292813003,6:40:58.789343,68
2021-08-13 17:11:41,stop_buy90,TJX Companies Inc (TJX),0.007686932215234063,6:40:58.811338,79
2021-08-13 17:11:41,stop_buy90,Berkshire Hathaway B (BRKb),0.0033765159867696327,6:40:58.827337,88
2021-08-13 17:11:41,stop_buy90,Regency Centers Corporation (REG),0.006025003765627439,6:40:58.842340,80
2021-08-13 17:11:41,stop_buy90,ResMed Inc (RMD),0.003415697674418597,6:40:58.857338,71
2021-08-13 17:11:41,stop_buy90,TCS Group Holding PLC (TCSGDR),-0.0015080810380149465,5:26:30.641553,79
2021-08-13 17:11:41,stop_buy90,Московский кредитный банк (CBOM),0.00029205607476632297,2:00:41.509081,87
2021-08-13 17:11:41,stop_buy90,Юнайтед Компани РУСАЛ Плс (RUAL),0.0019337016574585066,1:00:26.932956,88
2021-08-13 17:11:41,stop_buy90,Incyte Corporation (INCY),0.00027434842249671095,6:40:58.869486,-87
2021-08-13 17:11:41,stop_buy90,QIWI plc (QIWIDR),-0.0048746518105849575,6:00:39.176874,-72
2021-08-13 17:11:41,stop_buy80,SVB Financial Group (SIVB),0.025130345856594426,23:48:00.092017,66
2021-08-13 17:11:41,stop_buy80,TCS Group Holding PLC (TCSGDR),-0.0013371266002844436,21:21:33.308386,79
2021-08-13 17:11:41,stop_buy80,Citigroup Inc (C),0.005260318316698146,21:21:33.318391,75
2021-08-13 17:11:41,stop_buy80,Bank of America Corp (BAC),0.010900473933649308,21:21:33.334385,76
2021-08-13 17:11:41,stop_buy80,Regions Financial Corporation (RF),0.007729468599033823,21:21:33.337921,79
2021-08-13 17:11:41,stop_buy80,Southern Company (SO),0.004867660480681369,21:21:33.354928,75
2021-08-13 17:11:41,stop_buy80,Ralph Lauren Corp Class A (RL),0.008071025020177562,21:21:33.364448,79
2021-08-13 17:11:41,stop_buy80,DXC Technology Co (DXC),0.01041162227602905,21:21:33.381445,73
2021-08-13 17:11:41,stop_buy80,PNC Financial Services Group Inc (PNC),0.015153850105306359,21:21:33.397450,70
2021-08-13 17:11:41,stop_buy80,Best Buy Co Inc (BBY),0.025289689588091087,21:21:33.412449,68
2021-08-13 17:11:41,stop_buy80,Kohls Corp (KSS),0.013084782219035614,21:21:33.423448,62
2021-08-13 17:11:41,stop_buy80,Franklin Resources Inc (BEN),0.00812518808305736,21:21:33.426579,68
2021-08-13 17:11:41,stop_buy80,Jefferies Financial Group Inc (JEF),0.01479207368127271,21:21:33.445591,69
2021-08-13 17:11:41,stop_buy80,TJX Companies Inc (TJX),0.006437167646235569,21:21:33.460594,79
2021-08-13 17:11:42,stop_buy80,HP Inc (HPQ),0.02876033057851243,21:21:33.476592,10
2021-08-13 17:11:42,stop_buy80,Rockwell Automation Inc (ROK),0.001953925183574437,21:21:33.481643,67
2021-08-13 17:11:42,stop_buy80,Under Armour Inc A (UAA),0.018911617136240767,21:21:33.503895,70
2021-08-13 17:11:42,stop_buy80,Westinghouse Air Brake Technologies Corp (WAB),0.009537701974865444,21:21:33.514688,77
2021-08-13 17:11:42,stop_buy80,Capri Holdings Ltd (CPRI),0.0058352784261419535,21:21:33.529313,78
2021-08-13 17:11:42,stop_buy80,Hewlett Packard Enterprise Co (HPE),0.0079260237780714,21:21:33.554319,64
2021-08-13 17:11:42,stop_buy80,ResMed Inc (RMD),0.0022918258212375696,20:12:27.582124,71
2021-08-13 17:11:42,stop_buy80,Honeywell International Inc (HON),0.0007754275621419327,19:00:20.083488,77
2021-08-13 17:11:42,stop_buy80,Dupont De Nemours Inc (DD),0.0064226075786769435,19:00:20.085865,74
2021-08-13 17:11:42,stop_buy80,General Electric Company (GE),0.01315913149732123,19:00:20.103871,50
2021-08-13 17:11:42,stop_buy80,Raytheon Technologies Corp (RTX),0.006365806524951714,19:00:20.122549,66
2021-08-13 17:11:42,stop_buy80,Pioneer Natural Resources Co (PXD),0.008794051083090938,19:00:20.138174,63
2021-08-13 17:11:42,stop_buy80,LyondellBasell Industries NV (LYB),0.006863025450386035,19:00:20.153798,63
2021-08-13 17:11:42,stop_buy80,Dow Inc (DOW),0.0012498047180128948,6:40:59.306367,78
2021-08-13 17:11:42,stop_buy80,MGM Resorts International (MGM),0.00933431589290107,6:40:59.321992,69
2021-08-13 17:11:42,stop_buy80,Ball Corporation (BLL),0.0055897149245388465,6:40:59.337633,70
2021-08-13 17:11:42,stop_buy80,KeyCorp (KEY),0.010561689870379207,6:40:59.368868,75
2021-08-13 17:11:42,stop_buy80,Federal Realty Investment Trust (FRT),0.00541260721125827,6:40:59.384494,51
2021-08-13 17:11:42,stop_buy80,Under Armour Inc C (UA),0.015525114155251138,6:40:59.400174,60
2021-08-13 17:11:42,stop_buy80,Amcor (AMCR),0.0008305647840531385,6:40:59.436180,74
2021-08-13 17:11:42,stop_buy80,QIWI plc (QIWIDR),-0.0055749128919860644,22:00:19.735619,-72
2021-08-13 17:11:42,stop_buy80,FMC Corporation (FMC),-0.004625735912531514,19:00:20.350985,-66
2021-08-13 17:11:42,stop_buy80,Campbell Soup Company (CPB),-0.009157079126555376,6:40:59.573234,-29
2021-08-13 17:11:42,stop_buy80,Hormel Foods Corporation (HRL),-0.011456267900418506,6:40:59.602234,-34
2021-08-13 17:11:42,stop_buy80,IPG Photonics Corporation (IPGP),0.008010366356461383,6:40:59.633234,-77
2021-08-13 17:11:42,stop_buy80,Группа ЛСР (LSRG),-0.0063374702931080894,1:00:27.836015,-70
2021-08-13 17:11:42,stop_buy80,Интер РАО ЕЭС ОАО (IRAO),-0.0009298000929801137,0:46:05.826471,-75
2021-08-13 17:24:25,stop_buy100,Abbott Laboratories (ABT),0.000244120758401832,20:10:31.410274,94
2021-08-13 17:24:25,stop_buy100,Thermo Fisher Scientific Inc (TMO),0.0007186952916244107,19:13:03.856995,98
2021-08-13 17:24:25,stop_buy100,Johnson Controls International PLC (JCI),0.0023287671232876945,6:53:43.195440,86
2021-08-13 17:24:25,stop_buy100,DR Horton Inc (DHI),0.004816067220002039,0:12:44.679029,87
2021-08-13 17:24:25,stop_buy100,Lennar Corporation (LEN),0.0007442552795608738,0:12:44.678403,92
2021-08-13 17:24:25,stop_buy100,Union Pacific Corporation (UNP),-0.0008817564588661363,0:12:44.692404,99
2021-08-13 17:24:25,stop_buy100,Laboratory Corporation of America Holdings (LH),-0.0019218661983497925,0:12:44.707403,99
2021-08-13 17:24:25,stop_buy100,Chubb Ltd (CB),-0.0002746498214775224,0:12:44.722404,97
2021-08-13 17:24:25,stop_buy100,Allstate Corp (ALL),-0.0008155397390273846,0:12:44.737409,79
2021-08-13 17:24:25,stop_buy100,Charter Communications Inc (CHTR),0.00029691211401427527,0:12:44.752404,90
2021-08-13 17:24:25,stop_buy100,TE Connectivity Ltd (TEL),-0.0003935458480913175,0:12:44.769404,99
2021-08-13 17:24:25,stop_buy100,Martin Marietta Materials Inc (MLM),0.003957139553408588,0:12:44.785404,84
2021-08-13 17:24:25,stop_buy100,Tractor Supply Company (TSCO),0.002114273927392722,0:12:44.800405,91
2021-08-13 17:24:25,stop_buy100,SBA Communications Corp (SBAC),0.004096728307254618,0:12:44.816403,97
2021-08-13 17:24:25,stop_buy100,Packaging Corp of America (PKG),0.00048020854771229737,0:12:44.831407,96
2021-08-13 17:24:25,stop_buy100,Linde PLC (LIN),-0.0007147498375567591,0:12:44.848929,98
2021-08-13 17:24:25,stop_buy100,Nektar Therapeutics (NKTR),-0.006293706293706286,6:53:43.318496,-95
2021-08-13 17:24:26,stop_buy90,JPMorgan Chase & Co (JPM),0.006321660985435277,"1 day, 0:00:44.335873",71
2021-08-13 17:24:26,stop_buy90,DR Horton Inc (DHI),0.0033863519753719678,"1 day, 0:00:44.350800",87
2021-08-13 17:24:26,stop_buy90,Principal Financial Group Inc (PFG),0.0016410562434730632,"1 day, 0:00:44.355802",88
2021-08-13 17:24:26,stop_buy90,Deere & Company (DE),0.006014725707767421,21:34:17.864567,89
2021-08-13 17:24:26,stop_buy90,Northern Trust Corporation (NTRS),0.004093467508101688,21:34:17.870517,80
2021-08-13 17:24:26,stop_buy90,Interpublic Group of Companies Inc (IPG),0.006922257720979903,21:34:17.881557,87
2021-08-13 17:24:26,stop_buy90,MetLife Inc (MET),0.00651828298887117,21:34:17.891564,75
2021-08-13 17:24:26,stop_buy90,Wells Fargo & Company (WFC),0.01250977326035953,21:34:17.902644,86
2021-08-13 17:24:26,stop_buy90,Ameriprise Financial Inc (AMP),0.005579414895569439,21:34:17.917644,79
2021-08-13 17:24:26,stop_buy90,Lincoln National Corporation (LNC),0.011992099322799021,21:34:17.927565,79
2021-08-13 17:24:26,stop_buy90,CVS Health Corp (CVS),0.0027036558128598768,21:34:17.934266,88
2021-08-13 17:24:26,stop_buy90,Johnson Controls International PLC (JCI),0.0016449623029472864,21:34:17.949563,86
2021-08-13 17:24:26,stop_buy90,U.S. Bancorp (USB),0.010186757215619721,21:34:17.958380,70
2021-08-13 17:24:26,stop_buy90,Comerica Inc (CMA),0.00796178343949037,21:34:17.972371,83
2021-08-13 17:24:26,stop_buy90,Bank of New York Mellon (BK),0.008755928493250579,21:34:17.986342,76
2021-08-13 17:24:26,stop_buy90,BlackRock Inc (BLK),0.0028741263309164395,21:34:18.002353,76
2021-08-13 17:24:26,stop_buy90,Quanta Services Inc (PWR),0.018125062934246268,21:34:17.915893,83
